Produto,Quantidade,Valor Pago,Total Vendas,Custo Total,Mês
ATIV CITRUS 500ML,0,"R$ 46,21","R$ 47,50","R$ 0,00",Março
ATIV PLUS AÇAI 290ML,0,"R$ 13,00","R$ 13,00","R$ 0,00",Março
BOLINHO DA BACALHAU PEQUENO FRITO,0,"R$ 12,25","R$ 12,25","R$ 0,00",Março
BOLO FATIA,0,"R$ 31,50","R$ 31,50","R$ 0,00",Março
BOLO FATIA DIVERSOS,0,"R$ 66,50","R$ 66,50","R$ 0,00",Março
CENTO DE SALGADO DE FORNO,0,"R$ 200,00","R$ 200,00","R$ 0,00",Março
CENTO EMPADINHA,0,"R$ 70,00","R$ 70,00","R$ 0,00",Março
"COCA COLA ZERO 1,5",0,"R$ 85,00","R$ 85,00","R$ 0,00",Março
COCA COLA ZERO LATA 350ML,0,"R$ 21,00","R$ 21,00","R$ 0,00",Março
COCA RETORNAVEL,0,"R$ 85,00","R$ 85,00","R$ 0,00",Março
CORTESIA CARTAO FIDELIDADE,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
CUPCAKES,0,"R$ 30,00","R$ 30,00","R$ 0,00",Março
DOCINHO DIVERSOS,0,"R$ 1,50","R$ 1,50","R$ 0,00",Março
DOCINHO VARIADO UNIDADE,0,"R$ 7,29","R$ 7,50","R$ 0,00",Março
DOCINHOS CENTO,0,"R$ 170,00","R$ 200,00","R$ 0,00",Março
EMPADA P CAMARÃO,0,"R$ 57,87","R$ 58,00","R$ 0,00",Março
EMPADA P FRANGO,0,"R$ 72,00","R$ 72,00","R$ 0,00",Março
EMPADA P QUEIJO,0,"R$ 22,00","R$ 22,00","R$ 0,00",Março
EMPADÃO DE CAMARÃO,0,"R$ 168,00","R$ 168,00","R$ 0,00",Março
EMPADÃO FRANGO,0,"R$ 80,50","R$ 80,50","R$ 0,00",Março
FOLHEADO DE FRANGO,0,"R$ 20,50","R$ 21,00","R$ 0,00",Março
FOLHEADO DE FRANGO COM REQUEIJÃO,0,"R$ 43,33","R$ 45,50","R$ 0,00",Março
FOLHEADO DE QUEIJO E PRESUNTO,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
GUARAVITA 290ML,0,"R$ 399,86","R$ 400,00","R$ 0,00",Março
GUARAVITON 500ML,0,"R$ 147,91","R$ 148,00","R$ 0,00",Março
H2O,0,"R$ 3,00","R$ 3,00","R$ 0,00",Março
H2O LIMONETO,0,"R$ 5,84","R$ 6,00","R$ 0,00",Março
MINI JOELHINHO UNIDADE,0,"R$ 7,50","R$ 7,50","R$ 0,00",Março
PASTELZINHO,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
PEPSI 269ML,0,"R$ 5,00","R$ 5,00","R$ 0,00",Março
PIRAKIDS,0,"R$ 1,00","R$ 1,00","R$ 0,00",Março
PUDIM FATIA,0,"R$ 143,50","R$ 143,50","R$ 0,00",Março
REFRESCO 200ML,0,"R$ 93,00","R$ 93,00","R$ 0,00",Março
REFRESCO 300ML,0,"R$ 32,00","R$ 32,00","R$ 0,00",Março
REFRESCO 500ML,0,"R$ 52,34","R$ 52,50","R$ 0,00",Março
REFRGERANTE COCA LATA 350ML,0,"R$ 96,00","R$ 96,00","R$ 0,00",Março
REFRIGARANTE COCA KS,0,"R$ 126,34","R$ 127,50","R$ 0,00",Março
"REFRIGERANTE ANTARTICA 1,5",0,"R$ 60,00","R$ 61,00","R$ 0,00",Março
REFRIGERANTE ANTARTICA 200ML,0,"R$ 37,50","R$ 37,50","R$ 0,00",Março
REFRIGERANTE ANTARTICA 2L,0,"R$ 30,00","R$ 30,00","R$ 0,00",Março
REFRIGERANTE ANTARTICA 350ML,0,"R$ 60,00","R$ 60,00","R$ 0,00",Março
"REFRIGERANTE ANTARTICA ZERO 1,5L",0,"R$ 19,00","R$ 19,00","R$ 0,00",Março
REFRIGERANTE ANTARTICA ZERO LATA 350ML,0,"R$ 17,73","R$ 18,00","R$ 0,00",Março
"REFRIGERANTE COCA 1,5",0,"R$ 55,00","R$ 55,00","R$ 0,00",Março
REFRIGERANTE COCA 200ML,0,"R$ 51,00","R$ 51,00","R$ 0,00",Março
REFRIGERANTE COCA 2L,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
"REFRIGERANTE FANTA LARANJA 1,5L",0,"R$ 25,00","R$ 25,00","R$ 0,00",Março
REFRIGERANTE FANTA LARANJA 2L,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
REFRIGERANTE FANTA LARANJA 350ML,0,"R$ 27,00","R$ 27,00","R$ 0,00",Março
"REFRIGERANTE FANTA UVA 1,5L",0,"R$ 15,00","R$ 15,00","R$ 0,00",Março
REFRIGERANTE FANTA UVA 2L,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
REFRIGERANTE FANTA UVA LATA 350ML,0,"R$ 27,00","R$ 27,00","R$ 0,00",Março
"REFRIGERANTE PEPSI 1,5L",0,"R$ 23,00","R$ 23,00","R$ 0,00",Março
REFRIGERANTE PEPSI 200ML,0,"R$ 15,00","R$ 15,00","R$ 0,00",Março
REFRIGERANTE PEPSI 2L,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
REFRIGERANTE PEPSI LATA 350ML,0,"R$ 27,00","R$ 27,00","R$ 0,00",Março
"REFRIGERANTE PEPSI ZERO 1,5",0,"R$ 33,00","R$ 33,00","R$ 0,00",Março
REFRIGERANTE PEPSI ZERO 2L,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
REFRIGERANTE PEPSI ZERO LATA 350ML,0,"R$ 2,75","R$ 3,00","R$ 0,00",Março
REFRIGERANTE SPRITE 2L,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
REFRIGERANTE SPRITE 510ML,0,"R$ 20,85","R$ 21,00","R$ 0,00",Março
REFRIGERANTE SPRITE LATA 350ML,0,"R$ 9,00","R$ 9,00","R$ 0,00",Março
SALGADINHO FESTA UNIDADE,0,"R$ 9,00","R$ 9,00","R$ 0,00",Março
SALGADO + GUARAVITA 290ML,0,"R$ 500,00","R$ 500,00","R$ 0,00",Março
SALGADO CENTO CRU DIVERSOS,0,"R$ 13,75","R$ 27,50","R$ 0,00",Março
SALGADO FORNO DIVERSOS,0,"R$ 7.188,15","R$ 7.194,00","R$ -186.326,25",Março
SALGADO FRITO CENTO DIVERSOS,0,"R$ 465,00","R$ 480,00","R$ 0,00",Março
SALGADO FRITO DIVERSOS,0,"R$ 6.055,35","R$ 6.055,50","R$ -66.087,00",Março
SALGADO FRITO GRANDE DIVERSOS,0,"R$ 322,95","R$ 323,50","R$ 0,00",Março
SALGADO FRITO OVO,0,"R$ 57,50","R$ 57,50","R$ 0,00",Março
SANDUICHE NATURAL ATUM,0,"R$ 16,00","R$ 16,00","R$ 0,00",Março
SANDUICHE NATURAL FRANGO,0,"R$ 332,00","R$ 332,00","R$ 0,00",Março
SUCO CONCETRADO DE CAJU,0,"R$ 3,50","R$ 3,50","R$ 0,00",Março
SUCOS DIVERSOS 300ML,0,"R$ 15,00","R$ 15,00","R$ 0,00",Março
SUCOS DIVERSOS 500ML,0,"R$ 5,50","R$ 6,00","R$ 0,00",Março
TORTA DE LIMÃO INTEIRA,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
TORTA DE MARACUJA FATIA,0,"R$ 56,00","R$ 56,00","R$ 0,00",Março
TORTA DIVERSAS INTEIRA,0,"R$ 50,00","R$ 50,00","R$ 0,00",Março
TORTA INTEIRA 30 FATIAS,0,"R$ 50,00","R$ 50,00","R$ 0,00",Março
TORTA LIMÃO FATIA,0,"R$ 168,00","R$ 168,00","R$ 0,00",Março
TORTELETE SABORES VARIADOS,0,"R$ 10,00","R$ 10,00","R$ 0,00",Março
TORTINHA DIVERSOS,0,"R$ 0,50","R$ 0,50","R$ 0,00",Março
VITAMINAS DIVERSAS 300ML,0,"R$ 0,00","R$ 0,00","R$ 0,00",Março
VITAMINAS DIVERSAS 500ML,0,"R$ 19,50","R$ 19,50","R$ 0,00",Março
"ÁGUA COM GÁS 1,5L",0,"R$ 6,00","R$ 6,00","R$ 0,00",Março
ÁGUA COM GÁS 500ML,0,"R$ 16,50","R$ 16,50","R$ 0,00",Março
"ÁGUA MINERAL 1,5L",0,"R$ 12,50","R$ 12,50","R$ 0,00",Março
ÁGUA MINERAL 500ML,0,"R$ 15,00","R$ 15,00","R$ 0,00",Março
ÁGUA TÔNICA 350ML,0,"R$ 2,50","R$ 2,50","R$ 0,00",Março
